Class;Classifier;Accuracy;;Precision;;Recall;;F;
;;Mean;StdDev;Mean;StdDev;Mean;StdDev;Mean;StdDev
QC_CAUSE;NN;0,9734;0,01797;0,8514;0,1153;0,8875;0,08849;0,866;0,08964
;B;0,9579;0,01068;1,0;0,0;0,5583;0,1121;0,7097;0,09563
QC_DECISION;NN;0,9964;0,004679;0,9926;0,02227;0,9731;0,03669;0,9823;0,02305
;B;0,9964;0,003948;1,0;0,0;0,9654;0,03827;0,982;0,0199
QC_DEF;NN;0,977;0,01395;0,9432;0,0558;0,8853;0,08209;0,9109;0,05501
;B;0,9433;0,01358;1,0;0,0;0,5794;0,1006;0,7283;0,08451
QC_DIRECT;NN;0,954;0,01579;0,7681;0,1076;0,8308;0,08285;0,7909;0,06088
;B;0,9353;0,01632;0,6815;0,08673;0,7192;0,1122;0,6946;0,08276
QC_LOC;NN;0,9865;0,01007;0,9492;0,05916;0,9231;0,08068;0,933;0,05031
;B;0,979;0,0113;1,0;0,0;0,7962;0,1095;0,8822;0,07028
QC_NONPER;NN;0,9742;0,01461;0,8845;0,07315;0,9382;0,06301;0,9082;0,05141
;B;0,8817;0,02432;0,5385;0,05122;0,9912;0,021;0,6961;0,04173
QC_PER;NN;0,9865;0,01038;0,8927;0,1421;0,9071;0,1218;0,8849;0,08363
;B;0,9583;0,01119;0,579;0,06648;1,0;0,0;0,7311;0,05296
QC_PROCEDURE;NN;0,9742;0,0109;0,9043;0,06374;0,8423;0,07488;0,87;0,05576
;B;0,9698;0,01245;0,8663;0,06147;0,8385;0,07654;0,8509;0,06244
QC_QUANTITY;NN;0,9897;0,007976;0,9001;0,0663;0,95;0,1146;0,9182;0,07452
;B;0,9905;0,006448;0,8901;0,06557;0,975;0,05;0,9293;0,04806
QC_STATE;NN;0,975;0,009809;0,7072;0,1502;0,66;0,2835;0,6448;0,198
;B;0,9631;0,009482;0,4667;0,3712;0,25;0,1884;0,3183;0,2385
QC_TEMP;NN;0,9702;0,008649;0,8625;0,1396;0,675;0,1275;0,7399;0,07505
;B;0,9762;0,008694;0,9774;0,05402;0,6438;0,1385;0,766;0,1025
total;NN;0,9779;0,01619;0,8778;0,1258;0,8611;0,1577;0,859;0,1264
;B;0,9592;0,03273;0,8181;0,2347;0,7561;0,2463;0,7535;0,1943
