folds;netFscore;baseFscore;win;
2;0.867980669957+-0.0175518111695;0.789993332469+-0.00897962813041;"NN";
3;0.861152632968+-0.0152984821287;0.791512184938+-0.00821712351928;"NN";
4;0.852536232261+-0.0192219816643;0.794518475177+-0.00655523976027;"NN";
5;0.835158393474+-0.0214404975606;0.790925879839+-0.00603037774567;"NN";
6;0.819663204893+-0.0249275313517;0.793549590349+-0.00533559401516;"NN";
7;0.819985650035+-0.0249211596452;0.792350633257+-0.003237986887;"NN";
8;0.80879201563+-0.0295845228042;0.792135538558+-0.00545875000858;"NN";
9;0.798269896149+-0.0382704104339;0.793377903817+-0.00322881664882;"-";
10;0.80435138507+-0.0223051382435;0.791147590275+-0.00401568971562;"NN";
